شبت,19
حريقا,17
جيشنا,4
اجب,14
القدس,96
الطريقا,2
العملاق,7
ابشعه,1
الدجي,214
يغتال,27
عصفورا,5
رقيقا,10
مسخ,3
الفارس,45
لصا,6
قاتلا,11
كذابا,4
صفيقا,2
رحمة,70
عاش,57
خان,41
الرفيقا,1
وستون,1
اجفان,21
اعصار,13
سءمت,33
ارتحالا,1
الساري,25
ملت,41
الاسفار,14
هدات,7
والقتك,1
وعثاء,3
اسفار,18
تعبت,50
الاعداء,77
برحوا,1
يحاورونك,1
بالكبريت,3
والنار,35
والصحب,23
رفاق,30
بقيت,47
ثمالة,5
وتذكار,2
بلي,58
اكتفيت,5
واضناني,2
السري,98
وشكا,6
العناء,25
اقداري,7
رفيقة,9
دربي,62
عمري,191
لقلت,2
فدي,7
عينيك,240
اعماري,1
احبتني,7
وشبابي,3
فتوته,1
وما,1783
تغيرت,11
والاوجاع,4
سماري,4
منحتني,5
كنوز,11
انفسها,3
وكنت,212
نداك,12
الجاءع,9
العاري,22
ودت,6
قافيتي,29
والغيم,12
محبرتي,2
والافق,19
اشعاري,24
ساءلوك,3
يعشقني,3
بكل,213
عنف,12
واصرار,1
ياوي,18
ويسكنه,2
يحمل,106
اضلاعه,11
داري,31
مضيت,11
يكن,310
بطلا,8
يقبل,41
جبهة,30
العار,36
بنت,75
فجر,136
تنفسه,3
الانوثة,17
سحر,82
واسرار,10
تريدين,11
شبح,38
اغلال,6
واسوار,3
حديقة,35
الغروب,70
رايت,320
مرعي,19
خريف,18
جاءع,20
ضار,4
الطير,126
والاغصان,4
شاحبة,4
والورد,20
اطرق,11
يبكي,125
عهد,114
اذار,7
تبعيني,1
دعيني,44
واقرءي,2
كتبي,12
فبين,5
اوراقها,14
تلقاك,10
اخباري,9
يمزج,12
اطوارا,2
باطوار,1
بلادا,22
نذرت,7
زهرته,4
لعزها,2
دمت,29
حان,43
ابحاري,1
تركت,113
رمال,28
البيد,51
اغنيتي,14
وعند,31
شاطءك,2
المسحور,6
اسماري,1
ابع,3
قلمي,27
ادنس,1
بسوق,4
الزيف,30
افكاري,14
طفلي,9
ومحبوبي,1
وقيثاري,2
عالم,114
الغيب,129
ذنبي,23
تعرفه,22
تعلم,64
اعلاني,3
واسراري,2
ادري,204
بايمان,3
منت,5
خدشته,1
اوزاري,2
احبت,36
لقياك,12
الظن,45
يشفع,10
ايرتجي,2
العفو,36
غفاراحس,1
بالرعشة,2
تعتريني,3
يسترسل,2
وتيني,1
موجة,48
الاغماء,2
تحتويني,11
فقربي,1
لامسيني,1
مري,9
بكفيك,5
جبيني,29
ارقد,6
حدثيني,9
قصي,6
قصة,101
السنين,137
حكاية,64
المشرد,8
المسكين,21
طوف,2
قفره,3
الضنين,11
سرابه,5
الخءون,17
يشتكي,17
النجود,4
لحزون,1
جرب,11
الغربة,35
السفين,7
هام,75
مرافء,2
الجنون,92
كسندباد,1
احمق,6
مافون,3
بالحمي,15
بالشجون,4
محملا,10
بصفقة,4
المغبون,3
هاتي,16
كتاب,114
الشعر,651
انشديني,1
قصيدة,120
راءعة,25
الرنين,12
كتبتها,5
زمن,166
الفتون,22
ساذج,5
العيون,218
انتحار,17
اليقين,87
غضبة,19
الكهل,10
الجنين,11
صحوتي,7
الواقع,18
الحزين,69
تذكرين,20
ذكريني,2
براءتي,5
سالف,23
القرون,34
قدوم,6
الزمن,114
الملعون,5
يبيعني,2
يشتريني,1
يمنحني,8
يغنيني,4
يسكب,22
الماء,559
يرويني,2
يجعل,47
الاغلال,13
يميني,20
يزدري,4
يزدريني,3
يال,35
شقاء,20
البلبل,15
السجين,18
القفص,5
المذهب,11
الثمين,15
ينشد,30
لحون,14
خافتة,1
دافءة,5
الشءون,6
دم,209
يسيل,41
طعين,3
